6762ebf was Marcus Hindsbøl, 67 minutes ago, message: Writing some test
ec266d0 was Marcus Hindsbøl, 3 hours ago, message: For testing
6d3af1f was Marcus Hindsbøl, 3 hours ago, message: Added support for tests
ababe74 was Marcus Hindsbøl, 4 hours ago, message: Refactoring some methods that are needed in the frontend
6f76a99 was Marcus Hindsbøl, 24 hours ago, message: Added postman code
f7cdcd0 was Marcus Hindsbøl, 24 hours ago, message: Smårettelser
35994be was Marcus Hindsbøl, 25 hours ago, message: Added routes for matches and refactoring
05daf52 was Marcus, 2 days ago, message: Added creation of deletion and update
e1531ce was Marcus, 2 days ago, message: Added creation of login and users
2afd9e9 was Marcus, 3 days ago, message: add gitignore
b24e27e was Marcus, 3 days ago, message: Hej
f613894 was Marcus, 3 days ago, message: Add gitignore
70f151e was Marcus, 3 days ago, message: First commit
7eea023 was Marcus, 3 days ago, message: First commit
